Code,Party,Income level,GDP USD Mar 2025,Human Development Index 2022,Region Name,Sub-region Name,Least Developed Countries (LDC),Small Island Developing States (SIDS),OECD,Title,FileType,Language,Version,Status,SubmissionDate,EncodedAbsUrl,OriginalFilename,filename
AFG,Afghanistan,Low income,17233051620,0.462,Asia,Southern Asia,1,0,0,Afghanistan First NDC,NDC,English,1,Active,2016-11-23,https://unfccc.int/sites/default/files/NDC/2022-06/INDC_AFG_20150927_FINAL.pdf,INDC_AFG_20150927_FINAL.pdf,Afghanistan.txt
ALB,Albania,Upper middle income,23547179830,0.789,Europe,Southern Europe,0,0,0,Albania First NDC (Updated submission),NDC,English,2,Active,2021-10-12,https://unfccc.int/sites/default/files/2022-08/Albania%20Revised%20NDC.pdf,Albania Revised NDC.pdf,Albania.txt
DZA,Algeria,Upper middle income,247626161016,0.745,Africa,Northern Africa,0,0,0,Algeria First NDC Translation,Translation,English,1,Active,2016-10-20,https://unfccc.int/sites/default/files/NDC/2022-06/Algeria%20-%20INDC%20%28English%20unofficial%20translation%29%20September%2003%2C2015.pdf,"Algeria - INDC (English unofficial translation) September 03,2015.pdf",Algeria.txt
AND,Andorra,High income,3785067332,0.884,Europe,Southern Europe,0,0,0,Andorra Third NDC,NDC,Spanish,,Active,2025-02-05,https://unfccc.int/sites/default/files/2025-02/NDC%203.0%20ANDORRA.pdf,NDC 3.0 ANDORRA.pdf,Andorra.txt
AGO,Angola,Lower middle income,84824654482,0.591,Africa,Sub-Saharan Africa,1,0,0,Angola First NDC (Updated submission),NDC,English,2,Active,2021-05-31,https://unfccc.int/sites/default/files/NDC/2022-06/NDC%20Angola.pdf,NDC Angola.pdf,Angola.txt
ATG,Antigua and Barbuda,High income,2033085185,0.826,Americas,Latin America and the Caribbean,0,1,0,Antigua and Barbuda First NDC (Updated submission),NDC,English,2,Active,2021-09-02,https://unfccc.int/sites/default/files/NDC/2022-06/ATG%20-%20UNFCCC%20NDC%20-%202021-09-02%20-%20Final.pdf,ATG - UNFCCC NDC - 2021-09-02 - Final.pdf,Antigua_and_Barbuda.txt
ARG,Argentina,Upper middle income,646075277525,0.849,Americas,Latin America and the Caribbean,0,0,0,Argentina Second NDC (Updated submission),Translation,English,3,Active,2021-11-02,https://unfccc.int/sites/default/files/NDC/2023-12/Argentinas%20Second%20NDC.pdf,Argentinas Second NDC.pdf,Argentina.txt
ARM,Armenia,Upper middle income,24085749592,0.786,Asia,Western Asia,0,0,0,Armenia First NDC (Updated submission),NDC,English,2,Active,2021-05-05,https://unfccc.int/sites/default/files/NDC/2022-06/NDC%20of%20Republic%20of%20Armenia%20%202021-2030.pdf,NDC of Republic of Armenia  2021-2030.pdf,Armenia.txt
AUS,Australia,High income,1728057316696,0.946,Oceania,Australia and New Zealand,0,0,1,Australia NDC 2022 Update,NDC,English,4,Active,2022-06-16,https://unfccc.int/sites/default/files/NDC/2022-06/Australias%20NDC%20June%202022%20Update%20%283%29.pdf,Australias NDC June 2022 Update (3).pdf,Australia.txt
AUT,Austria,High income,511685203845,0.926,Europe,Western Europe,0,0,1,EU NDC 2023 update,NDC,English,3,Active,2023-10-19,https://unfccc.int/sites/default/files/NDC/2023-10/ES-2023-10-17%20EU%20submission%20NDC%20update.pdf,ES-2023-10-17 EU submission NDC update.pdf,Austria.txt
AZE,Azerbaijan,Upper middle income,72356176471,0.760,Asia,Western Asia,0,0,0,Updated Nationally Determined Contribution of the Republic of Azerbaijan,NDC,English,2,Active,2023-10-10,https://unfccc.int/sites/default/files/NDC/2023-10/Second%20NDC_Azerbaijan_ENG_Final%20%281%29.pdf,Second NDC_Azerbaijan_ENG_Final (1).pdf,Azerbaijan.txt
BHS,Bahamas,High income,14338500000,0.820,Americas,Latin America and the Caribbean,0,1,0,"Bahamas Updated Nationally Determined Contributions, 2022",NDC,English,2,Active,2022-11-07,https://unfccc.int/sites/default/files/NDC/2022-11/Bahamas%20Updated%20Nationally%20Determined%20Contributio,Bahamas Updated Nationally Determined Contributio,Bahamas.txt
